id,message,explanation,input_tokens,output_tokens,input_cost,output_cost,total_cost,일련번호,접수시간,수신시간,메시지 타입,KISA 분류,AI 분류,AI 오류,휴먼 분류,AI 모델,엑셀 업로드 일시,is_spam,spam_type,confidence
29,"[Web발신]동주초등학교 4학년  동주초 4-2 (2025)(로)으로 초대합니다.  초대코드를 입력하여 바로 가입하세요!  초대코드 : 67618268  링크 : https://www.hiclass.net/mobile/invite/clazzInviteCard?classId=c19a1dc4-abba-41c6-af2a-a222e3dad3cb&inviteCode=67618268_x000D__x000D_
MMS/초대장","이 메시지는 초등학교 초대 관련 정보로, 광고성 정보가 아니며 표기법 위반도 아님.",1360,64,0.0068000000000000005,0.0009599999999999999,0.00776,1581,2025-03-10 22:45:00,2025-03-05 17:03:00,MMS,교육,비스팸,,비스팸,nbc@20250305-01,,비스팸,알 수 없음,0.9
99,"(광고)최신상'셀루켓'액티브 50%사전예약 D-1lashevan.com무료수신거부0805301732_x000D_
SMS/-","광고 시작 부분에 전송자의 명칭이 없고, (광고) 표기법을 준수하지 않았으며, 수신거부 번호가 무료임을 명시하지 않았습니다.",1286,88,0.00643,0.00132,0.00775,1511,2025-03-10 21:35:00,2025-03-10 19:48:00,SMS,온라인 서비스 광고,비스팸,,표기법위반,nbc@20250305-01,,스팸(표기법위반),알 수 없음,0.95
678,"MMS 스팸신고[Web발신]LG유플러스 고객님, 안녕하세요.시장조사 기관 칸타코리아에서 연락드립니다.저희는 LG유플러스로부터 위탁을 받아LG유플러스에서 이용하고 계신 휴대폰 통신 품질(음성통화 및 데이터 품질) 개선을 위한 설문조사를 진행하고 있어요.보다 나은 서비스를 제공할 수 있도록 고객님의 소중한 의견을 들려주세요.설문조사를 완료하신 분들께는 커피쿠폰(아메리카노)을 제공해드리니 많은 참여 부탁드려요.▶조사기간: 2025년 3월 10일(월) ~ 17일(월)▶소요시간: 10분 이내▶아래의 링크를 통해 여러분의 소중한 의견을 들려주세요.: https://metasurvey.io/?list=4535▶쿠폰발송: 2025년 3월 21일(금)* 본 메시지는 엘지유플러스 고객님 중 위탁업체에게 개인정보제공 및 마케팅활용에 동의하신 분에 한해 발송되었어요.* 답변해주신 내용은 통계 목적으로만 활용돼요.* 데이터 이용을 원하지 않으시면, 와이파이에 연결한 다음 참여해주세요.* 본 조사에 대해 궁금하신 점이 있으신 경우, 칸타코리아(02-3415-5050) 또는 LG유플러스 고객센터(080-019-7000)으로 연락주시면 됩니다._x000D_
MMS/[KANTAR] LG U+ 통신 품질 만족도 설문조사","이 메시지는 LG유플러스의 고객을 대상으로 한 설문조사 안내로, 광고성 정보가 아닌 고객 의견 수렴을 위한 정상적인 메시지입니다. 표기법 위반 사항도 없습니다.",1613,82,0.008065000000000001,0.00123,0.009295000000000001,932,2025-03-10 16:32:00,2025-03-10 14:06:00,MMS,통신가입,비스팸,,비스팸,nbc@20250305-01,,비스팸,알 수 없음,0.9
1399,"[Web발신](광고)[웰컴저축은행 대출비교서비스] 모바일에서 받을 수 있는 예상한도가 나왔어요. 아래 링크를 눌러 간편하게 확인해보세요.━━━━━━━━━━━[대출한도 확인하기]▶링크 : https://abr.ge/dp3ine▶경로 : 본인인증→맞춤대출 조회하기━━━━━━━━━━━※ 예상한도는 고객님과 유사한 신용정보를 보유한 고객님의 한도를 분석하여 제공하는 것으로 대출가능 조회시점, 상환방식, 차주별 DSR 기준, 대출신청 및 심사시점의 차이에 의해 대출 제한, 대출한도가 변경될 수 있습니다.※ 웰컴저축은행(주)은 대출상품을 대리·중개하며 대출계약체결권은 소비자가 신청한 제휴 금융사에 있으며, 여신심사 등을 통한 대출계약체결권은 소비자가 신청한 금융사에서 결정합니다.※ 본 서비스 이용과 관련하여 소비자는 금융소비자보호법 제44조와 제45조에 따라 금융상품직접판매업자인 금융기관 및 금융상품판매대리중개업자인 웰컴저축은행(주)에게 손해배상을 청구할 수 있습니다.※ 본 서비스 이용을 위해 소비자가 입력한 개인정보와 신용정보는 금융상품직접판매업자인 제휴 금융사가 보유 및 관리합니다.※ 웰컴저축은행(주)은 본 서비스를 통한 대출계약, 대출실행 등과 관련하여 소비자로부터 어떠한 금전적 대가도 받지 않으며 금융사를 대신하여 대출이자, 원금상환 등을 받지 않습니다.※ 금리, 한도 확인을 위한 신용정보조회는 신용점수에 영향을 주지 않습니다.※ 과도한 대출이 신용평점 하락의 원인이 될 수 있으며, 신용평점 하락으로 금융거래의 제약 또는 불이익이 발생할 수 있습니다. 연체 시 계약기간 만료 전 변제의무가 발생할 수 있습니다.※ 금융소비자는 금융상품에 대하여 설명을 받을 권리가 있으며, 계약을 체결하기 전에 금융상품 설명서와 약관을 확인하시기 바랍니다. ※ 본 문자는 2025년 03월 10일 기준 광고문자 수신에 동의하신 분들께 발송되었습니다.※ (마이데이터 문의) 1661-9500※ (무료수신거부) 0808501161 (수신자부담)※ 웰컴저축은행 준법감시인 심의필 제5229-A호(2024.07.09~2025.07.08)━━━━━━━━━━━[대출한도 확인하기]▶링크 : https://abr.ge/dp3ine▶경로 : 본인인증→맞춤대출 조회하기━━━━━━━━━━━_x000D__x000D_
MMS/이상국님 예상한도 3,060만원 도착!","메시지는 광고임을 명확히 표시하고 있으며, 발신자 정보와 무료 수신거부 방법을 명시하여 표기법을 준수하고 있습니다. 따라서 비스팸(표기법준수)로 분류됩니다.",1912,98,0.00956,0.00147,0.011030000000000002,211,2025-03-10 10:13:00,2025-03-10 10:07:00,MMS,대출,비스팸,,표기법준수,nbc@20250305-01,,비스팸(표기법준수),알 수 없음,0.95
185,"MMS 스팸신고[Web발신](광고)스포힐상봉역점안녕하세요 회원님!스포힐휘트니스 상봉점(구 카인드라이프)을 이용해주셔서 진심으로 감사드립니다.3월 31일부터 시작된 '리모델링 오픈특가' 이벤트 안내 문자 보내드립니다.♥리모델링 오픈특가♥■ 1차 (3/10~4/6) 선착순 50명헬스 월 2만원! PT 4만원! ■ 2차 (4/7~4/27) 선착순 50명헬스 월 3만원! PT 4.5만원!■ 3차 (4/28~5/6) 선착순 50명헬스 월 4만원! PT 5만원!(vat 별도)※ 추가적으로 5월 7일 이후 부터는 회원권, PT 금액이 인상됨을 알려드립니다.※ 리모델링을 기다려주시는 회원님들께 보답드리고자 파격 할인을 진행중에 있으나 임차료, 인건비, 제반 비용 및 물가 상승으로 인해 지속적인 할인이 어려운점 회원님들의 넓은 이해와 양해 부탁드립니다.긴 글 읽어주셔서 감사합니다.무료거부 0808817402_x000D_
MMS/스포힐상봉역점","메시지는 (광고) 표기와 발신자 정보, 무료 수신거부 번호를 명시하여 표기법을 준수하고 있습니다.",1559,80,0.007795,0.0012000000000000001,0.008995,1425,2025-03-10 20:31:00,2025-03-10 19:49:00,MMS,오프라인 광고,비스팸,,표기법준수,nbc@20250305-01,,비스팸(표기법준수),알 수 없음,0.95
914,"[Web발신](광고)회원권거래소서울cc 6억6천5백시세상담.최상금액거래가능.무료거부 0808804934_x000D_
SMS/-","메시지는 (광고) 표기와 무료거부 번호를 포함하고 있으며, 표기법을 준수하고 있습니다. 따라서 비스팸(표기법준수)로 분류됩니다.",1292,90,0.00646,0.00135,0.007809999999999999,696,2025-03-10 14:43:00,2025-03-10 14:10:00,SMS,오프라인 광고,비스팸,,표기법준수,nbc@20250305-01,,비스팸(표기법준수),알 수 없음,0.9
1137,"MMS 스팸신고[Web발신](광고)◆2억대 래미안포레스티지 임대분양◆ <6일 계약서 발행후 조기 완판 예정>핫!! 온천동 대장아파트 4천세대< 래미안 포레스티지>에서 임대동 전세/분양 220세대선착순 호실지정중입니다.  ★ 지하6층~35층, 36개동★ 수영장, 사우나, 골프장, 헬스장- 4년전 최고 청약률  347:1★ [전세] 2억 1천~- 버팀목전세 대출 가능(최대 90%)- 임대료 증액없이 4년간 거주★ [분양] 3억 1천~- “2천만원” 으로 계약서 작성 ★ 온천 래미안포레스티지 장점- 3단지 맨 앞동(전세대 남서향)- 각 세대별 창고 지원- 만19세 누구나- 주택수 미포함! 다주택자 가능!- 청약 통장 NO!- 각종 세금 NO!  (취득세, 재산세, 종부세 등 제외)- 4년 후 등기(4년 전 분양가로 적용)- 전매/전대 제한 無  ★ 풀 옵션 제공- 천장형시스템에어컨- 냉장고, 가스렌지, 비데- 현관 중문, 포켓형 도어- 실외기 터닝도어무료거부 0801560049_x000D_
MMS/2억대!  래미안 포레스티지","메시지는 (광고) 표기와 무료수신거부 번호를 포함하고 있지만, 전송자의 명칭이 명시되어 있지 않아 표기법을 위반하고 있습니다. 따라서 스팸으로 분류됩니다.",1626,96,0.00813,0.00144,0.00957,473,2025-03-10 12:30:00,2025-03-07 15:58:00,MMS,주식 및 투자,비스팸,,표기법위반,nbc@20250305-01,,스팸(표기법위반),알 수 없음,0.95
906,"MMS 스팸신고[Web발신](광고)안녕하세요 강남맛집 인터뷰 담당자 이용준입니다.저번주 성공사례 인터뷰 보내드립니다.꼭 저희와 광고를 진행하지 않으셔도 영상보시고 가게운영에 많은 도움이 되셨으면 합니다.^^유튜브 쇼츠https://www.youtube.com/shorts/83Pb-0-jLKQ유튜브 풀영상https://www.youtube.com/watch?v=wBDRcX9sA4Y업체명 : 제주청년돼지 (경기 연천군 전곡읍)광고진행기간 : 약 1년 1개월 진행광고효과 : 매출 30% 상승마케팅은 선택이 아닌 필수라고 생각하여 어느 업체와 진행할지 고민하다가 담당자분과 얘기를 나눠본 후 신뢰가 생겨 믿고 맡기게 되었습니다. 위치상 타 지역 손님들은 절대 알고 찾아올 수가 없는데 리뷰가 쌓여가니 검색해 보고 찾아오는 손님들이 많아졌습니다. 손님 층도 다양해지고, 값어치 이상의 효과를 보았다고 생각합니다.무료수신거부080-888-8489_x000D_
MMS/제목없음",메시지는 (광고) 표기와 함께 발신자 정보 및 무료 수신거부 번호를 명시하고 있어 표기법을 준수하고 있습니다.,1524,82,0.00762,0.00123,0.00885,704,2025-03-10 14:44:00,2025-03-10 13:38:00,MMS,구인광고,비스팸,,표기법위반,nbc@20250305-01,,비스팸(표기법준수),알 수 없음,0.9
844,"[Web발신](광고) 스파크13~14~220~250모닝~300~330스타렉스12년~~700~포터~500~봉고1.2t~550~_x000D_
SMS/-","광고 표기법을 준수하지 않았으며, 전송자의 명칭과 연락처가 명시되지 않았고, 수신거부 방법도 제공되지 않았습니다.",1296,83,0.0064800000000000005,0.001245,0.007725000000000001,766,2025-03-10 15:10:00,2025-03-10 15:06:00,SMS,불법 도박,비스팸,,표기법위반,nbc@20250305-01,,스팸(표기법위반),알 수 없음,0.9
1360,"MMS 스팸신고[Web발신](광고)한글 특별무료학습 대상자로 선정 (윙크 1개월분 한글학습지)학부모님은 자녀를 위한 윙크 한글 1개월 학습지 제공 대상자로 선정되었습니다.본 문자 수신 한정 특별 혜택으로, 이번주까지 미 신청 시 혜택 소멸되오니 한글 1위 학습, 윙크 혜택을 누려보시기 바랍니다.▶혜택 신청하기 : https://bit.ly/3F5Mloe [혜택 상세 내용]1.한글 학습지 한달분량2.한글 쓰기노트3.윙크 시청각 한글학습 (7일 이용)■ 문의    - 궁금한 내용은 윙크 학부모님 공감센터(1522-1244) 또는 윙크 카카오톡 채널 추가 후 문의해주세요.※ 본 문자는 2025년 3월 10일 현재 베이비뉴스 광고성 정보 수신 동의하신 회원님 대상으로 발송되었습니다. 수신을 원치 않으시면 아래 수신거부 해주세요. [문자거부] 0806205704_x000D_
MMS/한글 특별무료학습 대상자 선정","메시지는 광고임을 명시하고 있으며, 발신자 정보와 무료 수신거부 번호가 포함되어 있어 표기법을 준수하고 있습니다.",1532,77,0.00766,0.001155,0.008815,250,2025-03-10 10:33:00,2025-03-10 10:01:00,MMS,교육,비스팸,,표기법위반,nbc@20250305-01,,비스팸(표기법준수),알 수 없음,0.9
